,Date,Sun Score,Rain Score,Wind Score,Overall
0,20190101,1.0,5,6.0,4.5
1,20190102,0.0,8,7.0,5.5
2,20190103,2.0,8,8.0,6.5
3,20190104,0.0,10,7.0,6.0
4,20190105,0.0,10,7.0,6.0
5,20190106,0.0,10,8.0,6.5
6,20190107,0.0,6,6.0,4.5
7,20190108,1.0,9,5.0,5.0
8,20190109,3.0,9,7.0,6.5
9,20190110,0.0,7,8.0,5.8
10,20190111,1.0,8,7.0,5.8
11,20190112,0.0,4,6.0,4.0
12,20190113,0.0,6,5.0,4.0
13,20190114,3.0,8,7.0,6.2
14,20190115,1.0,10,6.0,5.8
15,20190116,0.0,4,5.0,3.5
16,20190117,1.0,3,6.0,4.0
17,20190118,4.0,10,8.0,7.5
18,20190119,6.0,10,7.0,7.5
19,20190120,6.0,10,8.0,8.0
20,20190121,6.0,10,8.0,8.0
21,20190122,0.0,4,6.0,4.0
22,20190123,3.0,10,7.0,6.8
23,20190124,2.0,10,8.0,7.0
24,20190125,0.0,4,6.0,4.0
25,20190126,0.0,7,6.0,4.8
26,20190127,0.0,3,6.0,3.8
27,20190128,2.0,8,6.0,5.5
28,20190129,4.0,10,7.0,7.0
29,20190130,0.0,3,8.0,4.8
30,20190131,0.0,10,7.0,6.0
31,20190201,0.0,10,8.0,6.5
32,20190202,0.0,3,8.0,4.8
33,20190203,5.0,10,8.0,7.8
34,20190204,0.0,3,5.0,3.2
35,20190205,0.0,10,7.0,6.0
36,20190206,0.0,0,7.0,3.5
37,20190207,5.0,10,4.0,5.8
38,20190208,0.0,3,5.0,3.2
39,20190209,5.0,10,4.0,5.8
40,20190210,0.0,1,6.0,3.2
41,20190211,4.0,10,7.0,7.0
42,20190212,4.0,10,7.0,7.0
43,20190213,3.0,10,7.0,6.8
44,20190214,7.0,10,8.0,8.2
45,20190215,7.0,10,8.0,8.2
46,20190216,7.0,10,7.0,7.8
47,20190217,6.0,10,7.0,7.5
48,20190218,7.0,10,8.0,8.2
49,20190219,6.0,10,6.0,7.0
50,20190220,5.0,10,7.0,7.2
51,20190221,1.0,7,7.0,5.5
52,20190222,1.0,10,8.0,6.8
53,20190223,7.0,10,8.0,8.2
54,20190224,7.0,10,8.0,8.2
55,20190225,7.0,10,8.0,8.2
56,20190226,7.0,10,9.0,8.8
57,20190227,7.0,10,8.0,8.2
58,20190228,2.0,8,6.0,5.5
59,20190301,2.0,8,7.0,6.0
60,20190302,1.0,8,6.0,5.2
61,20190303,0.0,3,5.0,3.2
62,20190304,5.0,7,5.0,5.5
63,20190305,5.0,10,6.0,6.8
64,20190306,0.0,3,6.0,3.8
65,20190307,5.0,7,4.0,5.0
66,20190308,4.0,9,6.0,6.2
67,20190309,2.0,8,5.0,5.0
68,20190310,1.0,2,5.0,3.2
69,20190311,3.0,10,5.0,5.8
70,20190312,0.0,4,5.0,3.5
71,20190313,1.0,4,5.0,3.8
72,20190314,2.0,4,5.0,4.0
73,20190315,0.0,5,5.0,3.8
74,20190316,0.0,7,4.0,3.8
75,20190317,4.0,9,6.0,6.2
76,20190318,5.0,9,7.0,7.0
77,20190319,4.0,10,8.0,7.5
78,20190320,0.0,8,7.0,5.5
79,20190321,0.0,10,7.0,6.0
80,20190322,6.0,10,8.0,8.0
81,20190323,2.0,10,7.0,6.5
82,20190324,7.0,10,8.0,8.2
83,20190325,5.0,9,5.0,6.0
84,20190326,4.0,10,7.0,7.0
85,20190327,1.0,10,8.0,6.8
86,20190328,0.0,10,8.0,6.5
87,20190329,8.0,10,8.0,8.5
88,20190330,7.0,10,8.0,8.2
89,20190331,5.0,10,6.0,6.8
90,20190401,8.0,10,7.0,8.0
