id,Distance,Start_coordinates,End_coordinates
6358823.0,2454.3,"[51.661648, 4.320089]","[51.669949, 4.352711]"
15024093.0,1554.2,"[51.676943, 4.127625]","[51.674855, 4.108131]"
6123500.0,481.7,"[51.678886, 4.127712]","[51.678533, 4.133182]"
20354024.0,409.4,"[51.678148, 4.152184]","[51.677916, 4.147045]"
7932761.0,1312.4,"[51.67853, 4.153353]","[51.687578, 4.164334]"
8151715.0,1268.7,"[51.687367, 4.16369]","[51.678455, 4.15327]"
10062147.0,1250.7,"[51.680153, 4.150175]","[51.687663, 4.163113]"
8069889.0,335.9,"[51.694936, 4.158483]","[51.692217, 4.160529]"
6864536.0,1006.3,"[51.687455, 4.169098]","[51.692315, 4.180775]"
4213819.0,1359.8,"[51.692407, 4.180655]","[51.687395, 4.165076]"
21319590.0,327.6,"[51.685068, 4.168706]","[51.687088, 4.165285]"
6014536.0,136.2,"[51.694732, 4.177047]","[51.693841, 4.178396]"
7406031.0,671.7,"[51.684025, 4.1701]","[51.687023, 4.163091]"
14544438.0,536.6,"[51.676848, 4.210951]","[51.681137, 4.214478]"
10655427.0,3645.7,"[51.679894, 4.207177]","[51.678992, 4.206775]"
12400503.0,289.6,"[51.685528, 4.210801]","[51.688041, 4.211418]"
3566654.0,448.1,"[51.70036931, 4.18782426]","[51.69807017, 4.19273828]"
13519564.0,1284.1,"[51.679278, 4.200931]","[51.678985, 4.202775]"
1396326.0,560.5,"[51.6994377784431, 4.19069979339838]","[51.69589835219085, 4.196064714342356]"
7792951.0,356.3,"[51.694046, 4.225105]","[51.697161, 4.224079]"
5846773.0,667.3,"[51.696298, 4.195489]","[51.700056, 4.188449]"
12390456.0,457.7,"[51.689207, 4.223426]","[51.692052, 4.220534]"
11559164.0,11481.2,"[51.689015, 4.211773]","[51.688972, 4.211805]"
5113950.0,240.0,"[51.695925, 4.256058]","[51.693799, 4.255479]"
4117511.0,278.7,"[51.691099, 4.254866]","[51.693573, 4.255488]"
6735538.0,997.6,"[51.690993, 4.254814]","[51.699841, 4.257145]"
5113966.0,223.5,"[51.691698, 4.254974]","[51.693679, 4.255501]"
15120322.0,483.1,"[51.6975, 4.284669]","[51.698609, 4.291426]"
9425970.0,1138.1,"[51.696468, 4.277398]","[51.700416, 4.292574]"
8151668.0,1540.2,"[51.692488, 4.314773]","[51.698763, 4.294878]"
8151672.0,1045.3,"[51.700132, 4.291245]","[51.696485, 4.277298]"
20423543.0,707.4,"[51.682907, 4.362926]","[51.683492, 4.352784]"
20423529.0,711.8,"[51.683489, 4.352734]","[51.682915, 4.362943]"
20792052.0,317.9,"[51.679662, 4.338922]","[51.68003, 4.343468]"
2375425.0,3080.2,"[51.70098376325149, 4.328576254579211]","[51.6841353869742, 4.363055935146767]"
21813711.0,364.5,"[51.681393, 4.331427]","[51.684322, 4.33378]"
21813648.0,487.5,"[51.678514, 4.329156]","[51.682449, 4.332244]"
6953432.0,3196.3,"[51.682907, 4.363031]","[51.701223, 4.328296]"
21813693.0,721.6,"[51.678514, 4.329156]","[51.684322, 4.33378]"
13194331.0,3181.6,"[51.683237, 4.36318]","[51.700885, 4.328801]"
10013150.0,460.8,"[51.694422, 4.40038]","[51.69123, 4.404622]"
1065355.0,813.0,"[51.70127131976187, 4.396028341725469]","[51.6945075429976, 4.400274530053139]"
11067683.0,377.0,"[51.698169, 4.397478]","[51.695084, 4.399721]"
2730509.0,795.0,"[51.69745107572505, 4.397810887096736]","[51.69155446045829, 4.404164058692921]"
5969716.0,582.4,"[51.679022, 4.499765]","[51.679203, 4.507954]"
7923780.0,123.1,"[51.679317, 4.526261]","[51.680087, 4.526908]"
5333118.0,557.3,"[51.673942, 4.516396]","[51.674293, 4.524442]"
6805197.0,3587.8,"[51.708986, 4.082751]","[51.727905, 4.058977]"
16653238.0,11145.6,"[51.709107, 4.086364]","[51.709201, 4.08619]"
17769768.0,22327.9,"[51.708953, 4.085304]","[51.709352, 4.08679]"
13405254.0,2347.8,"[51.726352, 4.064428]","[51.710926, 4.085686]"
15161740.0,7265.7,"[51.709043, 4.086587]","[51.709115, 4.086222]"
5699047.0,886.7,"[51.72082, 4.105509]","[51.726378, 4.114608]"
7900799.0,2859.0,"[51.715748, 4.094798]","[51.720655, 4.134538]"
7850658.0,1562.1,"[51.717607, 4.094191]","[51.724946, 4.112289]"
4640818.0,3062.4,"[51.72125, 4.136561]","[51.715786, 4.094208]"
9306605.0,2296.1,"[51.729142, 4.167743]","[51.719765, 4.139648]"
21779667.0,2393.2,"[51.719929, 4.140081]","[51.729211, 4.169749]"
5384977.0,611.8,"[51.719623, 4.1588]","[51.725059, 4.160131]"
6777808.0,1661.7,"[51.704317, 4.264088]","[51.718614, 4.259016]"
11308750.0,713.8,"[51.725638, 4.230345]","[51.729331, 4.238791]"
12037233.0,4780.6,"[51.72279, 4.231216]","[51.722786, 4.231515]"
6810433.0,71.7,"[51.70397, 4.263682]","[51.703532, 4.262975]"
10365728.0,14155.4,"[51.722755, 4.231759]","[51.722817, 4.23035]"
8993093.0,418.0,"[51.717129, 4.289342]","[51.717137, 4.295361]"
6928366.0,2297.8,"[51.717162, 4.289501]","[51.704478, 4.311199]"
9257042.0,1541.3,"[51.703664, 4.291892]","[51.704529, 4.31465]"
10704551.0,679.7,"[51.716059, 4.401089]","[51.721731, 4.404735]"
7869987.0,1416.6,"[51.704577, 4.396003]","[51.716717, 4.401567]"
